ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Meaning,Sense_ID,Entry_ID
Gothic-430-land-1,241,Gothic,430-land,land,land,l a n d,,557564,,,^ land $,default,Land;  Gegend,Land-2,1795-land
Gothic-767-kriechen-1,246,Gothic,767-kriechen,sliupan,sliupan,s l ɪ u p a n,,557564,,,^ sliupan $,default,schleichen;  schlüpfen,schleichen-1,2668-sliupan
Gothic-260-kreuz-1,247,Gothic,260-kreuz,galga,galga,ɡ a l ɡ a,,557564,,,^ galga $,default,Pfahl;  Kreuz,Kreuz-1,1050-galga
Gothic-793-weinen-1,250,Gothic,793-weinen,qainon,qainon,kʷ ɛ n o n,,557564,,,^ qainon $,default,weinen;  trauern,weinen-2,2284-qainon
Gothic-793-weinen-2,251,Gothic,793-weinen,tagrjan,tagrjan,t a ɣ r j a n,,557564,,,^ tagrjan $,default,weinen,weinen-3,2883-tagrjan
Gothic-344-tasse-1,254,Gothic,344-tasse,stikls,stikls,s t ɪ k l̥ s,,557564,,,^ stikls $,default,Becher;  Kelch,Becher-1,2775-stikls
Gothic-866-schneiden-1,256,Gothic,866-schneiden,sneiþan,sneiþan,s n i θ a n,,557564,,,^ sneiþan $,default,schneiden;  ernten,schneiden-1,2682-sneian
Gothic-893-beschadigen-1,257,Gothic,893-beschadigen,ga-sleiþjan,gasleiþjan,ɡ a s l i θ j a n,,557564,,,^ gasleiþjan $,default,beschädigen,beschadigen-1,2660-gasleijan
Gothic-444-schaden-1,259,Gothic,444-schaden,sleiþa,sleiþa,s l i θ a,,557564,,,^ sleiþa $,default,Schaden,Schaden-2,2658-sleia
Gothic-444-schaden-2,260,Gothic,444-schaden,skaþjan,skaþjan,s k a θ j a n,,557564,,,^ skaþjan $,default,schaden,schaden-1,2615-skajan
Gothic-923-tanzen-1,262,Gothic,923-tanzen,plinsjan,plinsjan,p l ɪ n s j a n,,557564,,,^ plinsjan $,default,tanzen,tanzen-1,2271-plinsjan
Gothic-205-tochter-1,265,Gothic,205-tochter,dauhtar,dauhtar,d ɔ h t a r,,557564,,,^ dauhtar $,default,Tochter,Tochter-1,611-dauhtar
Gothic-450-tag-1,266,Gothic,450-tag,dags,dags,d a ɣ s,,557564,,,^ dags $,default,Tag,Tag-1,587-dags
Gothic-536-taub-1,267,Gothic,536-taub,daufs,daufs,d ɔ ɸ s,,557564,,,^ daufs $,default,taub;  verstockt,taub-1,610-daufs
